Polling Booth Number,Polling Booth Name,Winner- 2019,Margin %,Margin,Total Voters,BJP- Votes,BJP- % votes,INC- Votes,INC- % Votes,Adv. Chandrashekar Dongre,Topale Rupachand,Rahul Parasanji Tayde,Sanjay Ambadas Wankhede,Avinash Suresh Badhiye,Deepak M. Madavi,Dilip Shamraoji Potfode,Vilas Vinayakrao Kailuke,NOTA,No of Votes got by 3rd parties,BJP booth strength,INC booth strength
183,Arvi N. Pa. Hinndi Prathamik Shala Uttarekadil Bhag Kho,BJP,46.41255605,207,446,321,71.97309417,114,25.56053812,5,0,0,1,0,1,4,0,0,11,STRONG,WEAK
184,Arvi N. Pa. Hinndi Prathamik Shala Uttarekadil Bhag Kho,BJP,26.92307692,98,364,225,61.81318681,127,34.89010989,2,1,0,0,0,3,2,0,4,8,MODERATE,WEAK
185,Arvi N. Pa. Hindi Prathamik Shala (dakshinekadil Mag ),BJP,28.66941015,209,729,461,63.23731139,252,34.56790123,1,0,0,2,0,2,8,0,3,13,MODERATE,WEAK
186,Arvi J. P. Urdu Prathamik Mulinchi Shala,BJP,39.61661342,248,626,427,68.21086262,179,28.5942492,1,4,1,9,0,0,0,0,5,15,MODERATE,WEAK
187,Arvi J. Pa. Urdu Prathamik Mulinchi Shala,BJP,19.20529801,116,604,353,58.44370861,237,39.2384106,3,1,0,2,0,1,1,1,5,9,MODERATE,WEAK
188,Arvi Shriram Prathamik Shalaarvi,BJP,1.830065359,14,765,355,46.40522876,341,44.5751634,10,13,0,1,0,5,29,1,10,59,WEAK,WEAK
189,Arvi Shriram Prathamik Shala (purvekadil Bhag ),BJP,20.36082474,158,776,453,58.37628866,295,38.01546392,5,4,0,0,1,0,13,2,3,25,MODERATE,WEAK
190,Arvi Kannamvar Vidyalay,BJP,9.062821833,88,971,498,51.28733265,410,42.22451081,18,7,0,2,0,22,2,1,11,52,MODERATE,WEAK
191,Arvi Kannamvar Vidyalay,BJP,36.50075415,242,663,441,66.5158371,199,30.01508296,2,10,2,3,0,0,3,1,2,21,MODERATE,WEAK
192,Arvi Mayabai Prathamik Shalaarvi (purvekadil Bhag ),BJP,15.21197007,122,802,454,56.6084788,332,41.39650873,3,2,1,1,1,1,6,0,1,15,MODERATE,WEAK
193,Arvi N. Pa. Shivaji Prath shala uttarekadil Bhag ) Kho.,BJP,32.06997085,220,686,443,64.57725948,223,32.50728863,2,1,1,0,2,0,7,1,6,14,MODERATE,WEAK
194,Arvi N. Pa. Shivaji Prath shala (dakshine Kadil Bhag ),BJP,41.18387909,327,794,551,69.39546599,224,28.2115869,2,1,1,0,0,0,5,3,7,12,MODERATE,WEAK
195,Arvi Model High School,INC,3.786816269,27,713,329,46.1430575,356,49.92987377,10,4,0,0,0,0,7,0,7,21,WEAK,WEAK
196,Arvi Panchayat Samiti Bachat Bhawan,BJP,32.73480663,237,724,467,64.50276243,230,31.7679558,12,4,0,1,0,2,2,0,6,21,MODERATE,WEAK
197,Arvi Panchayat Samiti Karyalay Sabhagruh,BJP,10.78066914,58,538,288,53.53159851,230,42.75092937,5,11,0,1,0,0,1,1,1,19,MODERATE,WEAK
198,Arvi Panchayat Samiti Karyalay Sabhagruh,BJP,6.23556582,27,433,197,45.4965358,170,39.26096998,24,38,0,0,0,0,0,0,4,62,WEAK,WEAK
199,Savalapur,INC,3.403141361,13,382,135,35.34031414,148,38.7434555,52,29,1,3,1,5,5,0,3,96,WEAK,WEAK
200,Chicholi (dan ),BJP,21.73295455,153,704,396,56.25,243,34.51704545,17,4,0,3,8,28,1,0,4,61,MODERATE,WEAK
201,Pachod Booth No1,BJP,2.58302583,21,813,410,50.43050431,389,47.84747847,1,2,0,2,0,2,3,1,3,11,MODERATE,WEAK
202,Hivara ,INC,20.65934066,94,455,162,35.6043956,256,56.26373626,3,0,0,1,0,32,0,0,1,36,WEAK,MODERATE
203,Hivara Tanda,INC,18.27160494,74,405,160,39.50617284,234,57.77777778,3,4,0,1,0,2,1,0,0,11,WEAK,MODERATE
204,Belhara,BJP,12.67828843,80,631,342,54.19968304,262,41.52139461,2,1,0,0,0,15,3,1,5,22,MODERATE,WEAK
205,Ajanadoh,INC,5.765407555,29,503,215,42.74353877,244,48.50894632,5,7,1,1,0,21,2,1,6,38,WEAK,WEAK
206,Kannamavaragram,BJP,5.585106383,42,752,368,48.93617021,326,43.35106383,3,3,2,1,0,40,2,1,6,52,WEAK,WEAK
